,M,SD,F,p
0-5 years,3.61,0.46,1.27,0.27
11-15 years,3.73,0.49,1.27,0.27
16-20 years,3.74,0.65,1.27,0.27
21-25 years,4.02,0.38,1.27,0.27
26-30 years,3.19,0.0,1.27,0.27
6-10 years,3.68,0.54,1.27,0.27
0-5 years,3.6,0.48,3.47,0.0
11-15 years,3.67,0.52,3.47,0.0
16-20 years,4.06,0.34,3.47,0.0
21-25 years,3.64,0.0,3.47,0.0
26-30 years,3.19,0.0,3.47,0.0
6-10 years,3.8,0.5,3.47,0.0
Behavior analysis,3.71,0.5,3.38,0.01
Counseling,3.66,0.4,3.38,0.01
Education,3.57,0.46,3.38,0.01
Other,3.46,0.5,3.38,0.01
Psychology,3.69,0.52,3.38,0.01
Behavior analyst,3.62,0.49,1.83,0.09
Counselor,3.7,0.5,1.83,0.09
Other,3.76,0.54,1.83,0.09
Professor,3.81,0.3,1.83,0.09
Psychologist,3.67,0.51,1.83,0.09
Researcher,3.99,0.63,1.83,0.09
Teacher,3.49,0.4,1.83,0.09
Clinic,3.63,0.52,3.57,0.01
Home-based,3.57,0.45,3.57,0.01
Other,3.66,0.49,3.57,0.01
University or college,3.82,0.46,3.57,0.01
Midwest,3.7,0.52,2.48,0.04
Northeast,3.53,0.51,2.48,0.04
Outside US,3.82,0.49,2.48,0.04
South,3.63,0.52,2.48,0.04
West,3.65,0.52,2.48,0.04
Group and Individual fieldwork,3.73,0.53,2.59,0.05
Group fieldwork,3.57,0.22,2.59,0.05
Individual fieldwork,3.59,0.5,2.59,0.05
Intensive practicum,3.63,0.57,2.59,0.05
1-3 candidates,3.61,0.56,4.21,0.01
12+ candidates,4.47,0.43,4.21,0.01
4-7 candidates,3.75,0.55,4.21,0.01
7-11 candidates,3.71,0.83,4.21,0.01
1-3 candidates,3.58,0.58,7.64,.00
12+ candidates,4.24,0.67,7.64,.00
4-7 candidates,3.72,0.52,7.64,.00
7-11 candidates,3.47,0.52,7.64,.00
0 hours,3.55,0.53,7.9,.00
1-5 hours a week,3.55,0.58,7.9,.00
11-15 hours a week,3.93,0.45,7.9,.00
16+ hours a week,4.12,0.55,7.9,.00
6-10 hours a week,3.8,0.54,7.9,.00
0 hours,3.14,0.36,14.73,.00
1-5 hours a week,3.53,0.55,14.73,.00
11-15 hours a week,4.01,0.55,14.73,.00
16+ hours a week,4.42,0.48,14.73,.00
6-10 hours a week,3.7,0.52,14.73,.00
1-3 clients/consumers,3.71,0.53,1.68,0.15
12+ clients/consumers,3.57,0.58,1.68,0.15
4-7 clients/consumers,3.71,0.58,1.68,0.15
7-11 clients/consumer,3.68,0.59,1.68,0.15
I do not provide consultation to clients/consumers,3.78,0.53,1.68,0.15
Employer,3.59,0.58,1.75,0.18
I do not provide consultation to clients/consumers,3.76,0.54,1.75,0.18
Self,3.68,0.59,1.75,0.18
10% of patient's direct services,3.6,0.59,1.81,0.13
15% of patient's direct services,3.68,0.5,1.81,0.13
20% of patient's direct services,3.66,0.63,1.81,0.13
5% of patient's direct services,3.49,0.54,1.81,0.13
I do not supervise RBTs.,3.71,0.59,1.81,0.13
