,M,SD,F,p
0-5 years,3.68,0.53,1.07,0.37
11-15 years,3.68,0.54,1.07,0.37
16-20 years,3.89,0.8,1.07,0.37
21-25 years,4.35,0.65,1.07,0.37
26-30 years,3.4,0.0,1.07,0.37
6-10 years,3.72,0.62,1.07,0.37
0-5 years,3.68,0.56,0.95,0.45
11-15 years,3.57,0.58,0.95,0.45
16-20 years,3.92,0.66,0.95,0.45
21-25 years,3.7,0.0,0.95,0.45
26-30 years,3.4,0.0,0.95,0.45
6-10 years,3.79,0.59,0.95,0.45
Behavior analysis,3.73,0.56,1.14,0.34
Counseling,3.66,0.55,1.14,0.34
Education,3.71,0.54,1.14,0.34
Other,3.53,0.62,1.14,0.34
Psychology,3.66,0.61,1.14,0.34
Behavior analyst,3.68,0.56,0.74,0.62
Counselor,3.4,1.6,0.74,0.62
Other,3.73,0.62,0.74,0.62
Professor,3.83,0.55,0.74,0.62
Psychologist,3.63,0.53,0.74,0.62
Researcher,3.93,0.7,0.74,0.62
Teacher,3.84,0.45,0.74,0.62
Clinic,3.68,0.6,0.95,0.42
Home-based,3.68,0.54,0.95,0.42
Other,3.69,0.54,0.95,0.42
University or college,3.82,0.63,0.95,0.42
Midwest,3.83,0.65,1.89,0.11
Northeast,3.58,0.59,1.89,0.11
Outside US,3.76,0.54,1.89,0.11
South,3.7,0.6,1.89,0.11
West,3.68,0.6,1.89,0.11
Group and Individual fieldwork,3.96,0.58,20.75,.00
Group fieldwork,3.55,1.14,20.75,.00
Individual fieldwork,3.52,0.54,20.75,.00
Intensive practicum,3.69,0.61,20.75,.00
1-3 candidates,3.6,0.6,11.72,.00
12+ candidates,4.67,0.56,11.72,.00
4-7 candidates,4.01,0.71,11.72,.00
7-11 candidates,3.87,0.97,11.72,.00
1-3 candidates,3.6,0.66,8.35,.00
12+ candidates,4.33,0.69,8.35,.00
4-7 candidates,3.84,0.67,8.35,.00
7-11 candidates,3.91,0.7,8.35,.00
0 hours,3.62,0.68,3.68,0.01
1-5 hours a week,3.62,0.66,3.68,0.01
11-15 hours a week,4.05,0.75,3.68,0.01
16+ hours a week,3.99,0.72,3.68,0.01
6-10 hours a week,3.84,0.64,3.68,0.01
0 hours,3.52,0.35,8.72,.00
1-5 hours a week,3.57,0.68,8.72,.00
11-15 hours a week,3.97,0.72,8.72,.00
16+ hours a week,4.47,0.74,8.72,.00
6-10 hours a week,3.82,0.62,8.72,.00
1-3 clients/consumers,3.62,0.6,1.61,0.17
12+ clients/consumers,3.62,0.64,1.61,0.17
4-7 clients/consumers,3.81,0.69,1.61,0.17
7-11 clients/consumer,3.76,0.77,1.61,0.17
I do not provide consultation to clients/consumers,3.83,0.69,1.61,0.17
Employer,3.64,0.65,1.47,0.23
I do not provide consultation to clients/consumers,3.81,0.74,1.47,0.23
Self,3.75,0.72,1.47,0.23
10% of patient's direct services,3.82,0.71,1.96,0.1
15% of patient's direct services,3.86,0.7,1.96,0.1
20% of patient's direct services,3.76,0.7,1.96,0.1
5% of patient's direct services,3.61,0.69,1.96,0.1
I do not supervise RBTs.,3.62,0.66,1.96,0.1
