,M,SD,F,p
0-5 years,4.01,0.54,1.74,0.12
11-15 years,4.17,0.49,1.74,0.12
16-20 years,4.34,0.42,1.74,0.12
21-25 years,3.9,0.15,1.74,0.12
26-30 years,4.25,0.0,1.74,0.12
6-10 years,4.06,0.59,1.74,0.12
0-5 years,4.02,0.56,0.97,0.44
11-15 years,4.17,0.47,0.97,0.44
16-20 years,4.33,0.4,0.97,0.44
21-25 years,4.05,0.0,0.97,0.44
26-30 years,4.25,0.0,0.97,0.44
6-10 years,4.12,0.53,0.97,0.44
Behavior analysis,4.1,0.51,2.83,0.02
Counseling,4.09,0.54,2.83,0.02
Education,4.02,0.57,2.83,0.02
Other,3.79,0.6,2.83,0.02
Psychology,4.08,0.53,2.83,0.02
Behavior analyst,4.02,0.56,2.49,0.02
Counselor,3.62,1.38,2.49,0.02
Other,4.22,0.4,2.49,0.02
Professor,4.32,0.38,2.49,0.02
Psychologist,3.96,0.53,2.49,0.02
Researcher,4.2,0.62,2.49,0.02
Teacher,4.22,0.25,2.49,0.02
Clinic,4.0,0.53,10.36,.00
Home-based,3.9,0.56,10.36,.00
Other,4.15,0.52,10.36,.00
University or college,4.3,0.49,10.36,.00
Midwest,4.15,0.53,1.43,0.22
Northeast,3.98,0.69,1.43,0.22
Outside US,4.11,0.47,1.43,0.22
South,4.08,0.56,1.43,0.22
West,3.98,0.58,1.43,0.22
Group and Individual fieldwork,4.12,0.52,2.72,0.04
Group fieldwork,3.78,0.93,2.72,0.04
Individual fieldwork,3.99,0.61,2.72,0.04
Intensive practicum,4.2,0.53,2.72,0.04
1-3 candidates,4.02,0.64,2.04,0.11
12+ candidates,4.34,0.41,2.04,0.11
4-7 candidates,4.2,0.59,2.04,0.11
7-11 candidates,3.94,0.81,2.04,0.11
1-3 candidates,4.01,0.67,3.03,0.03
12+ candidates,4.37,0.4,3.03,0.03
4-7 candidates,4.09,0.66,3.03,0.03
7-11 candidates,4.39,0.53,3.03,0.03
0 hours,3.84,0.63,4.23,0.0
1-5 hours a week,4.07,0.65,4.23,0.0
11-15 hours a week,4.13,0.52,4.23,0.0
16+ hours a week,4.38,0.56,4.23,0.0
6-10 hours a week,4.16,0.66,4.23,0.0
0 hours,3.28,0.53,8.14,.00
1-5 hours a week,3.98,0.68,8.14,.00
11-15 hours a week,4.43,0.51,8.14,.00
16+ hours a week,4.52,0.44,8.14,.00
6-10 hours a week,4.13,0.59,8.14,.00
1-3 clients/consumers,4.0,0.68,1.39,0.24
12+ clients/consumers,4.05,0.65,1.39,0.24
4-7 clients/consumers,3.99,0.67,1.39,0.24
7-11 clients/consumer,4.01,0.64,1.39,0.24
I do not provide consultation to clients/consumers,4.3,0.57,1.39,0.24
Employer,3.95,0.69,9.45,.00
I do not provide consultation to clients/consumers,4.5,0.43,9.45,.00
Self,4.12,0.61,9.45,.00
10% of patient's direct services,3.99,0.57,3.16,0.01
15% of patient's direct services,3.97,0.71,3.16,0.01
20% of patient's direct services,4.11,0.54,3.16,0.01
5% of patient's direct services,3.87,0.65,3.16,0.01
I do not supervise RBTs.,4.18,0.7,3.16,0.01
