,M,SD,F,p
0-5 years,4.34,0.38,0.26,0.93
11-15 years,4.36,0.38,0.26,0.93
16-20 years,4.4,0.34,0.26,0.93
21-25 years,4.47,0.13,0.26,0.93
26-30 years,4.2,0.0,0.26,0.93
6-10 years,4.31,0.49,0.26,0.93
0-5 years,4.34,0.42,0.33,0.9
11-15 years,4.28,0.45,0.33,0.9
16-20 years,4.53,0.31,0.33,0.9
21-25 years,4.34,0.0,0.33,0.9
26-30 years,4.2,0.0,0.33,0.9
6-10 years,4.32,0.36,0.33,0.9
Behavior analysis,4.39,0.34,2.44,0.05
Counseling,4.36,0.41,2.44,0.05
Education,4.33,0.4,2.44,0.05
Other,4.22,0.6,2.44,0.05
Psychology,4.26,0.45,2.44,0.05
Behavior analyst,4.33,0.38,3.38,0.0
Counselor,3.3,1.3,3.38,0.0
Other,4.35,0.54,3.38,0.0
Professor,4.47,0.35,3.38,0.0
Psychologist,4.22,0.44,3.38,0.0
Researcher,4.57,0.23,3.38,0.0
Teacher,4.36,0.18,3.38,0.0
Clinic,4.32,0.37,1.7,0.17
Home-based,4.32,0.4,1.7,0.17
Other,4.33,0.46,1.7,0.17
University or college,4.46,0.35,1.7,0.17
Midwest,4.39,0.32,2.43,0.05
Northeast,4.3,0.49,2.43,0.05
Outside US,4.34,0.35,2.43,0.05
South,4.39,0.36,2.43,0.05
West,4.24,0.57,2.43,0.05
Group and Individual fieldwork,4.38,0.39,2.12,0.1
Group fieldwork,3.92,1.14,2.12,0.1
Individual fieldwork,4.31,0.44,2.12,0.1
Intensive practicum,4.33,0.39,2.12,0.1
1-3 candidates,4.33,0.46,5.78,.00
12+ candidates,4.68,0.25,5.78,.00
4-7 candidates,4.41,0.43,5.78,.00
7-11 candidates,3.8,0.87,5.78,.00
1-3 candidates,4.32,0.48,1.38,0.25
12+ candidates,4.43,0.51,1.38,0.25
4-7 candidates,4.4,0.52,1.38,0.25
7-11 candidates,4.17,0.49,1.38,0.25
0 hours,4.31,0.45,2.29,0.06
1-5 hours a week,4.28,0.54,2.29,0.06
11-15 hours a week,4.35,0.44,2.29,0.06
16+ hours a week,4.51,0.38,2.29,0.06
6-10 hours a week,4.46,0.39,2.29,0.06
0 hours,3.99,0.45,2.57,0.04
1-5 hours a week,4.29,0.53,2.57,0.04
11-15 hours a week,4.45,0.48,2.57,0.04
16+ hours a week,4.49,0.34,2.57,0.04
6-10 hours a week,4.41,0.43,2.57,0.04
1-3 clients/consumers,4.33,0.66,1.69,0.15
12+ clients/consumers,4.31,0.45,1.69,0.15
4-7 clients/consumers,4.39,0.46,1.69,0.15
7-11 clients/consumer,4.26,0.54,1.69,0.15
I do not provide consultation to clients/consumers,4.51,0.36,1.69,0.15
Employer,4.31,0.45,1.43,0.24
I do not provide consultation to clients/consumers,4.48,0.44,1.43,0.24
Self,4.34,0.55,1.43,0.24
10% of patient's direct services,4.28,0.52,2.21,0.07
15% of patient's direct services,4.22,0.56,2.21,0.07
20% of patient's direct services,4.32,0.59,2.21,0.07
5% of patient's direct services,4.28,0.47,2.21,0.07
I do not supervise RBTs.,4.42,0.43,2.21,0.07
