,F,M,SD,n,p,0,1,2,3,4,5,6,text
0,0.23,3.95,0.66,114.0,0.8,,,,,,,,
1,0.23,4.0,0.72,209.0,0.8,,,,,,,,
2,0.23,3.99,0.71,214.0,0.8,,,,,,,,
3,,,,,,,,,,,,,
4,1.45,3.91,0.73,185.0,0.24,,,,,,,,
5,1.45,4.02,0.64,228.0,0.24,,,,,,,,
6,1.45,4.02,0.77,124.0,0.24,,,,,,,,
7,,,,,,,,,,,,,
8,0.41,4.0,0.7,216.0,0.8,,,,,,,,
9,0.41,3.98,0.47,26.0,0.8,,,,,,,,
10,0.41,3.94,0.73,160.0,0.8,,,,,,,,
11,0.41,3.94,0.75,36.0,0.8,,,,,,,,
12,0.41,4.04,0.69,99.0,0.8,,,,,,,,
13,,,,,,,,,,,,,
14,0.52,3.98,0.72,434.0,0.8,,,,,,,,
15,0.52,3.75,1.25,2.0,0.8,,,,,,,,
16,0.52,4.05,0.74,37.0,0.8,,,,,,,,
17,0.52,3.96,0.53,28.0,0.8,,,,,,,,
18,0.52,3.83,0.6,21.0,0.8,,,,,,,,
19,0.52,4.15,0.51,7.0,0.8,,,,,,,,
20,0.52,4.25,0.36,8.0,0.8,,,,,,,,
21,,,,,,,,,,,,,
22,0.09,3.99,0.7,156.0,0.97,,,,,,,,
23,0.09,3.96,0.76,155.0,0.97,,,,,,,,
24,0.09,4.0,0.67,174.0,0.97,,,,,,,,
25,0.09,3.99,0.64,52.0,0.97,,,,,,,,
26,,,,,,,,,,,,,
27,0.74,4.04,0.63,69.0,0.57,,,,,,,,
28,0.74,3.91,0.74,94.0,0.57,,,,,,,,
29,0.74,3.89,0.6,36.0,0.57,,,,,,,,
30,0.74,4.03,0.75,176.0,0.57,,,,,,,,
31,0.74,3.95,0.87,96.0,0.57,,,,,,,,
32,,,,,,,,,,,,,
33,0.12,3.98,0.75,175.0,0.95,,,,,,,,
34,0.12,3.87,0.89,4.0,0.95,,,,,,,,
35,0.12,4.0,0.73,264.0,0.95,,,,,,,,
36,0.12,3.93,0.81,35.0,0.95,,,,,,,,
37,,,,,,,,,,,,,
38,1.22,3.96,0.84,311.0,0.3,,,,,,,,
39,1.22,4.26,1.02,4.0,0.3,,,,,,,,
40,1.22,4.11,0.68,73.0,0.3,,,,,,,,
41,1.22,3.7,0.93,10.0,0.3,,,,,,,,
42,,,,,,,,,,,,,
43,0.92,3.93,0.87,253.0,0.43,,,,,,,,
44,0.92,4.19,0.74,16.0,0.43,,,,,,,,
45,0.92,4.04,0.74,82.0,0.43,,,,,,,,
46,0.92,4.14,0.89,15.0,0.43,,,,,,,,
47,,,,,,,,,,,,,
48,4.21,3.87,0.89,86.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.03. There was a significant effect of IV Allotted hours on DV PECC 5.03 at the p<.05 level [F(4, 371)=4.21, p=0.0]."
