,F,M,SD,n,p,0,1,2,3,4,5,6,text
0,0.14,4.32,0.3,114.0,0.87,,,,,,,,
1,0.14,4.35,0.41,209.0,0.87,,,,,,,,
2,0.14,4.33,0.45,214.0,0.87,,,,,,,,
3,,,,,,,,,,,,,
4,0.12,4.34,0.33,185.0,0.89,,,,,,,,
5,0.12,4.34,0.48,228.0,0.89,,,,,,,,
6,0.12,4.32,0.38,124.0,0.89,,,,,,,,
7,,,,,,,,,,,,,
8,2.44,4.39,0.34,216.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.05. There was a significant effect of IV Area of study on DV PECC 5.05 at the p<.05 level [F(4, 532)=2.44, p=0.05]."
9,2.44,4.36,0.41,26.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.05. There was a significant effect of IV Area of study on DV PECC 5.05 at the p<.05 level [F(4, 532)=2.44, p=0.05]."
10,2.44,4.33,0.4,160.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.05. There was a significant effect of IV Area of study on DV PECC 5.05 at the p<.05 level [F(4, 532)=2.44, p=0.05]."
11,2.44,4.22,0.6,36.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.05. There was a significant effect of IV Area of study on DV PECC 5.05 at the p<.05 level [F(4, 532)=2.44, p=0.05]."
12,2.44,4.26,0.45,99.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.05. There was a significant effect of IV Area of study on DV PECC 5.05 at the p<.05 level [F(4, 532)=2.44, p=0.05]."
13,,,,,,,,,,,,,
14,3.38,4.33,0.38,434.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on PECC 5.05. There was a significant effect of IV Job classification on DV PECC 5.05 at the p<.05 level [F(6, 530)=3.38, p=0.0]."
15,3.38,3.3,1.3,2.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on PECC 5.05. There was a significant effect of IV Job classification on DV PECC 5.05 at the p<.05 level [F(6, 530)=3.38, p=0.0]."
16,3.38,4.35,0.54,37.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on PECC 5.05. There was a significant effect of IV Job classification on DV PECC 5.05 at the p<.05 level [F(6, 530)=3.38, p=0.0]."
17,3.38,4.47,0.35,28.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on PECC 5.05. There was a significant effect of IV Job classification on DV PECC 5.05 at the p<.05 level [F(6, 530)=3.38, p=0.0]."
18,3.38,4.22,0.44,21.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on PECC 5.05. There was a significant effect of IV Job classification on DV PECC 5.05 at the p<.05 level [F(6, 530)=3.38, p=0.0]."
19,3.38,4.57,0.23,7.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on PECC 5.05. There was a significant effect of IV Job classification on DV PECC 5.05 at the p<.05 level [F(6, 530)=3.38, p=0.0]."
20,3.38,4.36,0.18,8.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on PECC 5.05. There was a significant effect of IV Job classification on DV PECC 5.05 at the p<.05 level [F(6, 530)=3.38, p=0.0]."
21,,,,,,,,,,,,,
22,1.7,4.32,0.37,156.0,0.17,,,,,,,,
23,1.7,4.32,0.4,155.0,0.17,,,,,,,,
24,1.7,4.33,0.46,174.0,0.17,,,,,,,,
25,1.7,4.46,0.35,52.0,0.17,,,,,,,,
26,,,,,,,,,,,,,
27,2.43,4.39,0.32,69.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of State on PECC 5.05. There was a significant effect of IV State on DV PECC 5.05 at the p<.05 level [F(4, 466)=2.43, p=0.05]."
28,2.43,4.3,0.49,94.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of State on PECC 5.05. There was a significant effect of IV State on DV PECC 5.05 at the p<.05 level [F(4, 466)=2.43, p=0.05]."
29,2.43,4.34,0.35,36.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of State on PECC 5.05. There was a significant effect of IV State on DV PECC 5.05 at the p<.05 level [F(4, 466)=2.43, p=0.05]."
30,2.43,4.39,0.36,176.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of State on PECC 5.05. There was a significant effect of IV State on DV PECC 5.05 at the p<.05 level [F(4, 466)=2.43, p=0.05]."
31,2.43,4.24,0.57,96.0,0.05,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of State on PECC 5.05. There was a significant effect of IV State on DV PECC 5.05 at the p<.05 level [F(4, 466)=2.43, p=0.05]."
32,,,,,,,,,,,,,
33,2.12,4.38,0.39,175.0,0.1,,,,,,,,
34,2.12,3.92,1.14,4.0,0.1,,,,,,,,
35,2.12,4.31,0.44,264.0,0.1,,,,,,,,
36,2.12,4.33,0.39,35.0,0.1,,,,,,,,
37,,,,,,,,,,,,,
38,5.78,4.33,0.46,311.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.05. There was a significant effect of IV Number of candidates on DV PECC 5.05 at the p<.05 level [F(3, 394)=5.78, p=0.0]."
39,5.78,4.68,0.25,4.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.05. There was a significant effect of IV Number of candidates on DV PECC 5.05 at the p<.05 level [F(3, 394)=5.78, p=0.0]."
40,5.78,4.41,0.43,73.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.05. There was a significant effect of IV Number of candidates on DV PECC 5.05 at the p<.05 level [F(3, 394)=5.78, p=0.0]."
41,5.78,3.8,0.87,10.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.05. There was a significant effect of IV Number of candidates on DV PECC 5.05 at the p<.05 level [F(3, 394)=5.78, p=0.0]."
42,,,,,,,,,,,,,
43,1.38,4.32,0.48,253.0,0.25,,,,,,,,
44,1.38,4.43,0.51,16.0,0.25,,,,,,,,
45,1.38,4.4,0.52,82.0,0.25,,,,,,,,
46,1.38,4.17,0.49,15.0,0.25,,,,,,,,
47,,,,,,,,,,,,,
48,2.29,4.31,0.45,86.0,0.06,,,,,,,,
49,2.29,4.28,0.54,191.0,0.06,,,,,,,,
50,2.29,4.35,0.44,16.0,0.06,,,,,,,,
51,2.29,4.51,0.38,20.0,0.06,,,,,,,,
52,2.29,4.46,0.39,63.0,0.06,,,,,,,,
53,,,,,,,,,,,,,
54,2.57,3.99,0.45,8.0,0.04,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.05. There was a significant effect of IV Scheduled hours on DV PECC 5.05 at the p<.05 level [F(4, 353)=2.57, p=0.04]."
55,2.57,4.29,0.53,225.0,0.04,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.05. There was a significant effect of IV Scheduled hours on DV PECC 5.05 at the p<.05 level [F(4, 353)=2.57, p=0.04]."
