,F,M,SD,n,p,0,1,2,3,4,5,6,text
0,1.87,4.01,0.48,114.0,0.16,,,,,,,,
1,1.87,4.01,0.57,209.0,0.16,,,,,,,,
2,1.87,4.11,0.56,214.0,0.16,,,,,,,,
3,,,,,,,,,,,,,
4,2.09,4.03,0.53,185.0,0.13,,,,,,,,
5,2.09,4.02,0.57,228.0,0.13,,,,,,,,
6,2.09,4.14,0.51,124.0,0.13,,,,,,,,
7,,,,,,,,,,,,,
8,2.83,4.1,0.51,216.0,0.02,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.02. There was a significant effect of IV Area of study on DV PECC 5.02 at the p<.05 level [F(4, 532)=2.83, p=0.02]."
9,2.83,4.09,0.54,26.0,0.02,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.02. There was a significant effect of IV Area of study on DV PECC 5.02 at the p<.05 level [F(4, 532)=2.83, p=0.02]."
10,2.83,4.02,0.57,160.0,0.02,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.02. There was a significant effect of IV Area of study on DV PECC 5.02 at the p<.05 level [F(4, 532)=2.83, p=0.02]."
11,2.83,3.79,0.6,36.0,0.02,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.02. There was a significant effect of IV Area of study on DV PECC 5.02 at the p<.05 level [F(4, 532)=2.83, p=0.02]."
12,2.83,4.08,0.53,99.0,0.02,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.02. There was a significant effect of IV Area of study on DV PECC 5.02 at the p<.05 level [F(4, 532)=2.83, p=0.02]."
13,,,,,,,,,,,,,
14,2.49,4.02,0.56,434.0,0.02,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on PECC 5.02. There was a significant effect of IV Job classification on DV PECC 5.02 at the p<.05 level [F(6, 530)=2.49, p=0.02]."
15,2.49,3.62,1.38,2.0,0.02,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on PECC 5.02. There was a significant effect of IV Job classification on DV PECC 5.02 at the p<.05 level [F(6, 530)=2.49, p=0.02]."
16,2.49,4.22,0.4,37.0,0.02,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on PECC 5.02. There was a significant effect of IV Job classification on DV PECC 5.02 at the p<.05 level [F(6, 530)=2.49, p=0.02]."
17,2.49,4.32,0.38,28.0,0.02,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on PECC 5.02. There was a significant effect of IV Job classification on DV PECC 5.02 at the p<.05 level [F(6, 530)=2.49, p=0.02]."
18,2.49,3.96,0.53,21.0,0.02,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on PECC 5.02. There was a significant effect of IV Job classification on DV PECC 5.02 at the p<.05 level [F(6, 530)=2.49, p=0.02]."
19,2.49,4.2,0.62,7.0,0.02,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on PECC 5.02. There was a significant effect of IV Job classification on DV PECC 5.02 at the p<.05 level [F(6, 530)=2.49, p=0.02]."
20,2.49,4.22,0.25,8.0,0.02,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Job classification on PECC 5.02. There was a significant effect of IV Job classification on DV PECC 5.02 at the p<.05 level [F(6, 530)=2.49, p=0.02]."
21,,,,,,,,,,,,,
22,10.36,4.0,0.53,156.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Place of employment on PECC 5.02. There was a significant effect of IV Place of employment on DV PECC 5.02 at the p<.05 level [F(3, 533)=10.36, p=0.0]."
23,10.36,3.9,0.56,155.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Place of employment on PECC 5.02. There was a significant effect of IV Place of employment on DV PECC 5.02 at the p<.05 level [F(3, 533)=10.36, p=0.0]."
24,10.36,4.15,0.52,174.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Place of employment on PECC 5.02. There was a significant effect of IV Place of employment on DV PECC 5.02 at the p<.05 level [F(3, 533)=10.36, p=0.0]."
25,10.36,4.3,0.49,52.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Place of employment on PECC 5.02. There was a significant effect of IV Place of employment on DV PECC 5.02 at the p<.05 level [F(3, 533)=10.36, p=0.0]."
26,,,,,,,,,,,,,
27,1.43,4.15,0.53,69.0,0.22,,,,,,,,
28,1.43,3.98,0.69,94.0,0.22,,,,,,,,
29,1.43,4.11,0.47,36.0,0.22,,,,,,,,
30,1.43,4.08,0.56,176.0,0.22,,,,,,,,
31,1.43,3.98,0.58,96.0,0.22,,,,,,,,
32,,,,,,,,,,,,,
33,2.72,4.12,0.52,175.0,0.04,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Supervision format on PECC 5.02. There was a significant effect of IV Supervision format on DV PECC 5.02 at the p<.05 level [F(3, 474)=2.72, p=0.04]."
34,2.72,3.78,0.93,4.0,0.04,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Supervision format on PECC 5.02. There was a significant effect of IV Supervision format on DV PECC 5.02 at the p<.05 level [F(3, 474)=2.72, p=0.04]."
35,2.72,3.99,0.61,264.0,0.04,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Supervision format on PECC 5.02. There was a significant effect of IV Supervision format on DV PECC 5.02 at the p<.05 level [F(3, 474)=2.72, p=0.04]."
36,2.72,4.2,0.53,35.0,0.04,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Supervision format on PECC 5.02. There was a significant effect of IV Supervision format on DV PECC 5.02 at the p<.05 level [F(3, 474)=2.72, p=0.04]."
37,,,,,,,,,,,,,
38,2.04,4.02,0.64,311.0,0.11,,,,,,,,
39,2.04,4.34,0.41,4.0,0.11,,,,,,,,
40,2.04,4.2,0.59,73.0,0.11,,,,,,,,
41,2.04,3.94,0.81,10.0,0.11,,,,,,,,
42,,,,,,,,,,,,,
43,3.03,4.01,0.67,253.0,0.03,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on PECC 5.02. There was a significant effect of IV Past 12 months candidates on DV PECC 5.02 at the p<.05 level [F(3, 362)=3.03, p=0.03]."
44,3.03,4.37,0.4,16.0,0.03,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on PECC 5.02. There was a significant effect of IV Past 12 months candidates on DV PECC 5.02 at the p<.05 level [F(3, 362)=3.03, p=0.03]."
45,3.03,4.09,0.66,82.0,0.03,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on PECC 5.02. There was a significant effect of IV Past 12 months candidates on DV PECC 5.02 at the p<.05 level [F(3, 362)=3.03, p=0.03]."
46,3.03,4.39,0.53,15.0,0.03,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on PECC 5.02. There was a significant effect of IV Past 12 months candidates on DV PECC 5.02 at the p<.05 level [F(3, 362)=3.03, p=0.03]."
47,,,,,,,,,,,,,
48,4.23,3.84,0.63,86.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.02. There was a significant effect of IV Allotted hours on DV PECC 5.02 at the p<.05 level [F(4, 371)=4.23, p=0.0]."
49,4.23,4.07,0.65,191.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.02. There was a significant effect of IV Allotted hours on DV PECC 5.02 at the p<.05 level [F(4, 371)=4.23, p=0.0]."
50,4.23,4.13,0.52,16.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.02. There was a significant effect of IV Allotted hours on DV PECC 5.02 at the p<.05 level [F(4, 371)=4.23, p=0.0]."
51,4.23,4.38,0.56,20.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.02. There was a significant effect of IV Allotted hours on DV PECC 5.02 at the p<.05 level [F(4, 371)=4.23, p=0.0]."
52,4.23,4.16,0.66,63.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.02. There was a significant effect of IV Allotted hours on DV PECC 5.02 at the p<.05 level [F(4, 371)=4.23, p=0.0]."
53,,,,,,,,,,,,,
54,8.14,3.28,0.53,8.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.02. There was a significant effect of IV Scheduled hours on DV PECC 5.02 at the p<.05 level [F(4, 353)=8.14, p=0.0]."
55,8.14,3.98,0.68,225.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.02. There was a significant effect of IV Scheduled hours on DV PECC 5.02 at the p<.05 level [F(4, 353)=8.14, p=0.0]."
56,8.14,4.43,0.51,28.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.02. There was a significant effect of IV Scheduled hours on DV PECC 5.02 at the p<.05 level [F(4, 353)=8.14, p=0.0]."
57,8.14,4.52,0.44,14.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.02. There was a significant effect of IV Scheduled hours on DV PECC 5.02 at the p<.05 level [F(4, 353)=8.14, p=0.0]."
