,F,M,SD,n,p,0,1,2,3,4,5,6,text
0,0.82,3.64,0.47,114.0,0.44,,,,,,,,
1,0.82,3.69,0.57,209.0,0.44,,,,,,,,
2,0.82,3.73,0.62,214.0,0.44,,,,,,,,
3,,,,,,,,,,,,,
4,2.22,3.63,0.52,185.0,0.11,,,,,,,,
5,2.22,3.72,0.59,228.0,0.11,,,,,,,,
6,2.22,3.75,0.59,124.0,0.11,,,,,,,,
7,,,,,,,,,,,,,
8,1.14,3.73,0.56,216.0,0.34,,,,,,,,
9,1.14,3.66,0.55,26.0,0.34,,,,,,,,
10,1.14,3.71,0.54,160.0,0.34,,,,,,,,
11,1.14,3.53,0.62,36.0,0.34,,,,,,,,
12,1.14,3.66,0.61,99.0,0.34,,,,,,,,
13,,,,,,,,,,,,,
14,0.74,3.68,0.56,434.0,0.62,,,,,,,,
15,0.74,3.4,1.6,2.0,0.62,,,,,,,,
16,0.74,3.73,0.62,37.0,0.62,,,,,,,,
17,0.74,3.83,0.55,28.0,0.62,,,,,,,,
18,0.74,3.63,0.53,21.0,0.62,,,,,,,,
19,0.74,3.93,0.7,7.0,0.62,,,,,,,,
20,0.74,3.84,0.45,8.0,0.62,,,,,,,,
21,,,,,,,,,,,,,
22,0.95,3.68,0.6,156.0,0.42,,,,,,,,
23,0.95,3.68,0.54,155.0,0.42,,,,,,,,
24,0.95,3.69,0.54,174.0,0.42,,,,,,,,
25,0.95,3.82,0.63,52.0,0.42,,,,,,,,
26,,,,,,,,,,,,,
27,1.89,3.83,0.65,69.0,0.11,,,,,,,,
28,1.89,3.58,0.59,94.0,0.11,,,,,,,,
29,1.89,3.76,0.54,36.0,0.11,,,,,,,,
30,1.89,3.7,0.6,176.0,0.11,,,,,,,,
31,1.89,3.68,0.6,96.0,0.11,,,,,,,,
32,,,,,,,,,,,,,
33,20.75,3.96,0.58,175.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Supervision format on PECC 5.04. There was a significant effect of IV Supervision format on DV PECC 5.04 at the p<.05 level [F(3, 474)=20.75, p=0.0]."
34,20.75,3.55,1.14,4.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Supervision format on PECC 5.04. There was a significant effect of IV Supervision format on DV PECC 5.04 at the p<.05 level [F(3, 474)=20.75, p=0.0]."
35,20.75,3.52,0.54,264.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Supervision format on PECC 5.04. There was a significant effect of IV Supervision format on DV PECC 5.04 at the p<.05 level [F(3, 474)=20.75, p=0.0]."
36,20.75,3.69,0.61,35.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Supervision format on PECC 5.04. There was a significant effect of IV Supervision format on DV PECC 5.04 at the p<.05 level [F(3, 474)=20.75, p=0.0]."
37,,,,,,,,,,,,,
38,11.72,3.6,0.6,311.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.04. There was a significant effect of IV Number of candidates on DV PECC 5.04 at the p<.05 level [F(3, 394)=11.72, p=0.0]."
39,11.72,4.67,0.56,4.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.04. There was a significant effect of IV Number of candidates on DV PECC 5.04 at the p<.05 level [F(3, 394)=11.72, p=0.0]."
40,11.72,4.01,0.71,73.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.04. There was a significant effect of IV Number of candidates on DV PECC 5.04 at the p<.05 level [F(3, 394)=11.72, p=0.0]."
