,F,M,SD,n,p,0,1,2,3,4,5,6,text
0,1.16,3.5,0.76,114.0,0.31,,,,,,,,
1,1.16,3.49,0.75,209.0,0.31,,,,,,,,
2,1.16,3.39,0.86,214.0,0.31,,,,,,,,
3,,,,,,,,,,,,,
4,0.92,3.44,0.77,185.0,0.4,,,,,,,,
5,0.92,3.5,0.78,228.0,0.4,,,,,,,,
6,0.92,3.38,0.87,124.0,0.4,,,,,,,,
7,,,,,,,,,,,,,
8,0.98,3.41,0.78,216.0,0.42,,,,,,,,
9,0.98,3.56,0.92,26.0,0.42,,,,,,,,
10,0.98,3.49,0.73,160.0,0.42,,,,,,,,
11,0.98,3.26,0.84,36.0,0.42,,,,,,,,
12,0.98,3.51,0.9,99.0,0.42,,,,,,,,
13,,,,,,,,,,,,,
14,1.33,3.41,0.82,434.0,0.24,,,,,,,,
15,1.33,3.88,1.12,2.0,0.24,,,,,,,,
16,1.33,3.66,0.85,37.0,0.24,,,,,,,,
17,1.33,3.62,0.64,28.0,0.24,,,,,,,,
18,1.33,3.38,0.47,21.0,0.24,,,,,,,,
19,1.33,3.8,0.61,7.0,0.24,,,,,,,,
20,1.33,3.78,0.53,8.0,0.24,,,,,,,,
21,,,,,,,,,,,,,
22,1.85,3.33,0.78,156.0,0.14,,,,,,,,
23,1.85,3.47,0.84,155.0,0.14,,,,,,,,
24,1.85,3.49,0.81,174.0,0.14,,,,,,,,
25,1.85,3.59,0.67,52.0,0.14,,,,,,,,
26,,,,,,,,,,,,,
27,0.46,3.4,0.86,69.0,0.77,,,,,,,,
28,0.46,3.44,0.83,94.0,0.77,,,,,,,,
29,0.46,3.37,0.69,36.0,0.77,,,,,,,,
30,0.46,3.44,0.91,176.0,0.77,,,,,,,,
31,0.46,3.55,0.83,96.0,0.77,,,,,,,,
32,,,,,,,,,,,,,
33,1.77,3.56,0.83,175.0,0.15,,,,,,,,
34,1.77,3.66,0.82,4.0,0.15,,,,,,,,
35,1.77,3.38,0.87,264.0,0.15,,,,,,,,
36,1.77,3.41,0.72,35.0,0.15,,,,,,,,
37,,,,,,,,,,,,,
38,2.13,3.41,0.93,311.0,0.1,,,,,,,,
39,2.13,4.49,0.63,4.0,0.1,,,,,,,,
40,2.13,3.55,0.94,73.0,0.1,,,,,,,,
41,2.13,3.46,0.88,10.0,0.1,,,,,,,,
42,,,,,,,,,,,,,
43,2.34,3.4,0.98,253.0,0.07,,,,,,,,
44,2.34,4.04,0.77,16.0,0.07,,,,,,,,
45,2.34,3.5,0.93,82.0,0.07,,,,,,,,
46,2.34,3.45,1.04,15.0,0.07,,,,,,,,
47,,,,,,,,,,,,,
48,3.2,3.31,1.01,86.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.07. There was a significant effect of IV Allotted hours on DV PECC 5.07 at the p<.05 level [F(4, 371)=3.2, p=0.01]."
49,3.2,3.38,0.92,191.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.07. There was a significant effect of IV Allotted hours on DV PECC 5.07 at the p<.05 level [F(4, 371)=3.2, p=0.01]."
50,3.2,4.02,0.86,16.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.07. There was a significant effect of IV Allotted hours on DV PECC 5.07 at the p<.05 level [F(4, 371)=3.2, p=0.01]."
51,3.2,3.67,1.17,20.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.07. There was a significant effect of IV Allotted hours on DV PECC 5.07 at the p<.05 level [F(4, 371)=3.2, p=0.01]."
52,3.2,3.66,0.86,63.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.07. There was a significant effect of IV Allotted hours on DV PECC 5.07 at the p<.05 level [F(4, 371)=3.2, p=0.01]."
53,,,,,,,,,,,,,
54,4.79,2.99,0.63,8.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.07. There was a significant effect of IV Scheduled hours on DV PECC 5.07 at the p<.05 level [F(4, 353)=4.79, p=0.0]."
55,4.79,3.33,0.99,225.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.07. There was a significant effect of IV Scheduled hours on DV PECC 5.07 at the p<.05 level [F(4, 353)=4.79, p=0.0]."
56,4.79,3.58,1.08,28.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.07. There was a significant effect of IV Scheduled hours on DV PECC 5.07 at the p<.05 level [F(4, 353)=4.79, p=0.0]."
57,4.79,4.29,0.65,14.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.07. There was a significant effect of IV Scheduled hours on DV PECC 5.07 at the p<.05 level [F(4, 353)=4.79, p=0.0]."
58,4.79,3.63,0.9,83.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.07. There was a significant effect of IV Scheduled hours on DV PECC 5.07 at the p<.05 level [F(4, 353)=4.79, p=0.0]."
59,,,,,,,,,,,,,
60,1.19,3.22,0.93,29.0,0.32,,,,,,,,
61,1.19,3.43,0.97,181.0,0.32,,,,,,,,
62,1.19,3.57,0.81,64.0,0.32,,,,,,,,
63,1.19,3.38,1.06,70.0,0.32,,,,,,,,
64,1.19,3.67,0.88,32.0,0.32,,,,,,,,
65,,,,,,,,,,,,,
66,0.11,3.47,0.94,200.0,0.9,,,,,,,,
67,0.11,3.45,1.02,27.0,0.9,,,,,,,,
68,0.11,3.42,1.01,139.0,0.9,,,,,,,,
69,,,,,,,,,,,,,
70,1.71,3.48,1.02,69.0,0.15,,,,,,,,
71,1.71,3.63,0.96,38.0,0.15,,,,,,,,
72,1.71,3.6,1.07,43.0,0.15,,,,,,,,
73,1.71,3.21,0.83,69.0,0.15,,,,,,,,
74,1.71,3.46,0.96,147.0,0.15,,,,,,,,
75,,,,,,,,,,,,,
