,F,M,SD,n,p,0,1,2,3,4,5,6,text
0,2.08,3.59,0.42,114.0,0.13,,,,,,,,
1,2.08,3.62,0.48,209.0,0.13,,,,,,,,
2,2.08,3.69,0.53,214.0,0.13,,,,,,,,
3,,,,,,,,,,,,,
4,7.81,3.56,0.44,185.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Years supervisor on PECC 5.01. There was a significant effect of IV Years supervisor on DV PECC 5.01 at the p<.05 level [F(2, 534)=7.81, p=0.0]."
5,7.81,3.63,0.51,228.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Years supervisor on PECC 5.01. There was a significant effect of IV Years supervisor on DV PECC 5.01 at the p<.05 level [F(2, 534)=7.81, p=0.0]."
6,7.81,3.78,0.5,124.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Years supervisor on PECC 5.01. There was a significant effect of IV Years supervisor on DV PECC 5.01 at the p<.05 level [F(2, 534)=7.81, p=0.0]."
7,,,,,,,,,,,,,
8,3.38,3.71,0.5,216.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.01. There was a significant effect of IV Area of study on DV PECC 5.01 at the p<.05 level [F(4, 532)=3.38, p=0.01]."
9,3.38,3.66,0.4,26.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.01. There was a significant effect of IV Area of study on DV PECC 5.01 at the p<.05 level [F(4, 532)=3.38, p=0.01]."
10,3.38,3.57,0.46,160.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.01. There was a significant effect of IV Area of study on DV PECC 5.01 at the p<.05 level [F(4, 532)=3.38, p=0.01]."
11,3.38,3.46,0.5,36.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.01. There was a significant effect of IV Area of study on DV PECC 5.01 at the p<.05 level [F(4, 532)=3.38, p=0.01]."
12,3.38,3.69,0.52,99.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Area of study on PECC 5.01. There was a significant effect of IV Area of study on DV PECC 5.01 at the p<.05 level [F(4, 532)=3.38, p=0.01]."
13,,,,,,,,,,,,,
14,1.83,3.62,0.49,434.0,0.09,,,,,,,,
15,1.83,3.7,0.5,2.0,0.09,,,,,,,,
16,1.83,3.76,0.54,37.0,0.09,,,,,,,,
17,1.83,3.81,0.3,28.0,0.09,,,,,,,,
18,1.83,3.67,0.51,21.0,0.09,,,,,,,,
19,1.83,3.99,0.63,7.0,0.09,,,,,,,,
20,1.83,3.49,0.4,8.0,0.09,,,,,,,,
21,,,,,,,,,,,,,
22,3.57,3.63,0.52,156.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Place of employment on PECC 5.01. There was a significant effect of IV Place of employment on DV PECC 5.01 at the p<.05 level [F(3, 533)=3.57, p=0.01]."
23,3.57,3.57,0.45,155.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Place of employment on PECC 5.01. There was a significant effect of IV Place of employment on DV PECC 5.01 at the p<.05 level [F(3, 533)=3.57, p=0.01]."
24,3.57,3.66,0.49,174.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Place of employment on PECC 5.01. There was a significant effect of IV Place of employment on DV PECC 5.01 at the p<.05 level [F(3, 533)=3.57, p=0.01]."
25,3.57,3.82,0.46,52.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Place of employment on PECC 5.01. There was a significant effect of IV Place of employment on DV PECC 5.01 at the p<.05 level [F(3, 533)=3.57, p=0.01]."
26,,,,,,,,,,,,,
27,2.48,3.7,0.52,69.0,0.04,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of State on PECC 5.01. There was a significant effect of IV State on DV PECC 5.01 at the p<.05 level [F(4, 466)=2.48, p=0.04]."
28,2.48,3.53,0.51,94.0,0.04,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of State on PECC 5.01. There was a significant effect of IV State on DV PECC 5.01 at the p<.05 level [F(4, 466)=2.48, p=0.04]."
29,2.48,3.82,0.49,36.0,0.04,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of State on PECC 5.01. There was a significant effect of IV State on DV PECC 5.01 at the p<.05 level [F(4, 466)=2.48, p=0.04]."
30,2.48,3.63,0.52,176.0,0.04,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of State on PECC 5.01. There was a significant effect of IV State on DV PECC 5.01 at the p<.05 level [F(4, 466)=2.48, p=0.04]."
31,2.48,3.65,0.52,96.0,0.04,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of State on PECC 5.01. There was a significant effect of IV State on DV PECC 5.01 at the p<.05 level [F(4, 466)=2.48, p=0.04]."
32,,,,,,,,,,,,,
33,2.59,3.73,0.53,175.0,0.05,,,,,,,,
34,2.59,3.57,0.22,4.0,0.05,,,,,,,,
35,2.59,3.59,0.5,264.0,0.05,,,,,,,,
36,2.59,3.63,0.57,35.0,0.05,,,,,,,,
37,,,,,,,,,,,,,
